Facility Id;FRS Id;Facility Name;City;State;Zip Code;Address;County;Latitude;Longitude;Primary NAICS Code;Industry Type (subparts);Industry Type (sectors);Total reported direct emissions;CO2 emissions (non-biogenic) ;Methane (CH4) emissions ;Nitrous Oxide (N2O) emissions ;Biogenic CO2 emissions (metric tons);Stationary Combustion;Electricity Generation;Glass Production;Municipal Landfills;Industrial Wastewater Treatment
1011961;110012384561;ADM Valdosta;Valdosta;GA;31601;1841 Clay Road;LOWNDES COUNTY;30.83;-83.25;311222;C;Other;41253.954;40,360.60;141.50;751.85;63,736.20;41,253.95;;;;
1001636;110013947453;ADS-PECAN ROW-EVERGREEN LANDFILLS;VALDOSTA;GA;31601;2995 WETHERINGTON LANE;LOWNDES COUNTY;30.81;-83.36;562212;HH;Waste;218748.25;;218,748.25;;;;;;218,748.25;
1007272;110000359068;ALADDIN MILLS - ANTIOCH RD PLA NT;DALTON;GA;30720;2001 ANTIOCH ROAD;WHITFIELD COUNTY;34.74;-84.95;314110;C;Other;48073.968;48,024.10;22.75;27.12;;48,073.97;;;;
1006904;110000356427;ANHEUSER-BUSCH, INC. CARTERSVI LLE BREWERY;CARTERSVILLE;GA;30120;100 BUSCH DR.;BARTOW COUNTY;34.26;-84.78;312120;C;Other;21797.514;21,763.50;13.75;20.26;2,252.50;21,797.51;;;;
1006056;110013454957;ATHENS & CLARKE COUNTIES-DUNLAP ROAD LF;WINTERVILLE;GA;30683;5700 LEXINGTON RD;CLARKE COUNTY;33.93;-83.26;562212;HH;Waste;51977.25;;51,977.25;;;;;;51,977.25;
1012844;110070225671;Albany Green Energy, LLC;Albany;GA;31705;512 Liberty Expressway, Southeast;DOUGHERTY COUNTY;31.55;-84.11;221112;D;Power Plants;4312.864;;619.75;3,693.11;341,176.40;;4,312.86;;;
1007915;110007909674;American Proteins, Inc. - Cumming;Cumming;GA;30041;4990 Leland Drive;FORSYTH COUNTY;34.28;-84.06;311613;C,II;Other,Waste;60626.114;59,525.50;1,058.00;42.61;2,319.60;59,599.86;;;;1,026.25
1004943;110005668722;Anchor Glass Container Corporation - Plant 14;WARNER ROBINS;GA;31088;1044 BOOTH RD;HOUSTON;32.59;-83.59;327213;C,N;Minerals;104973.708;104,893.70;36.50;43.51;;77,439.91;;27,533.80;;
1006883;110000360163;Armstrong World Industries Inc;Macon;GA;31206;4520 Broadway;BIBB COUNTY;32.77;-83.65;339999;C;Other;79112.252;79,030.60;37.25;44.40;;79,112.25;;;;
1003450;110033177425;Atkinson County - S.R. 50 MSW Landfill;Willachoochee;GA;31650;64 Arthur Davis Jr. Drive;ATKINSON COUNTY;31.32;-82.96;562212;HH;Waste;39667.75;;39,667.75;;;;;;39,667.75;
1007885;110007248683;BASF CORP ATTAPULGUS OPS;ATTAPULGUS;GA;39815;141 ENGELHARD RD;DECATUR COUNTY;30.74;-84.49;327992;C;Minerals;96814.182;96,713.60;45.75;54.83;;96,814.18;;;;
1002622;110000360378;BASF CORP SAVANNAH OPERATIONS;SAVANNAH;GA;31404;1800 EAST PRESIDENT STREET;CHATHAM COUNTY;32.07;-81.06;327992;C;Minerals;49064.116;49,013.70;23.00;27.42;;49,064.12;;;;
1006829;110056960454;BASF Corporation;Gordon;GA;31031;Highway 18 Spur;WILKINSON COUNTY;32.89;-83.34;212324;C;Other;48225.268;48,175.40;22.75;27.12;;48,225.27;;;;
1003325;110005670577;BASF Corporation;McIntyre;GA;31054;1277 Dedrick Road;WILKINSON COUNTY;32.85;-83.23;212324;C;Other;194956.016;194,754.90;91.75;109.37;;194,956.02;;;;
1001409;110001360474;Baconton;BACONTON;GA;31716;2237 HATCHER HILL RD;Mitchell;31.39;-84.08;221112;C,D;Power Plants;53;53.00;;;;0.00;53.00;;;
